"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Harrisonia abyssinica","shrub/tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Harrisonia abyssinica","Accepted",FALSE,"Oliv.","Harrisonia","species","Rutaceae","wfo-0000715900","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813729-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Harungana madagascariensis","shrub/tree","broadleaved","evergreen",NA,"tropical",3,4,"BET-Tr","Harungana madagascariensis","Accepted",FALSE,"Lam. ex Poir.","Harungana","species","Hypericaceae","wfo-0000716096","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:153822-3","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Harungana montana","tree","broadleaved","evergreen",NA,"tropical",NA,4,"BET-Tr","Harungana montana","Accepted",FALSE,"Spirlet","Harungana","species","Hypericaceae","wfo-0001296044","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:428336-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Heinsenia diervilleoides","tree","broadleaved","evergreen",NA,"tropical",3,4,"BET-Tr","Heinsenia diervilleoides","Accepted",FALSE,"K.Schum.","Heinsenia","species","Rubiaceae","wfo-0000981038","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:753016-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Heisteria parvifolia","tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Heisteria parvifolia","Accepted",FALSE,"Sm.","Heisteria","species","Olacaceae","wfo-0000717145","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:607895-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Helianthemum lippii","shrub","broadleaved","evergreen","C3",NA,2,4,"ESH","Helianthemum lippii","Accepted",FALSE,"(L.) Dum.Cours.","Helianthemum","species","Cistaceae","wfo-0000717563","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:168981-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Helichrysum citrispinum","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Helichrysum citrispinum","Accepted",FALSE,"Delile","Helichrysum","species","Asteraceae","wfo-0000130311","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1098970","The Asteraceaae TEN"
"Helichrysum dasyanthum","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Helichrysum dasyanthum","Accepted",FALSE,"Sweet","Helichrysum","species","Asteraceae","wfo-0000139019","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1102297","The Asteraceaae TEN"
"Helichrysum felinum","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Helichrysum felinum","Accepted",FALSE,"Less.","Helichrysum","species","Asteraceae","wfo-0000123397","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1097713","The Asteraceaae TEN"
"Helichrysum newii","shrub","broadleaved","evergreen",NA,NA,1,3,"ESH","Helichrysum newii","Accepted",FALSE,"Oliv. & Hiern","Helichrysum","species","Asteraceae","wfo-0000067252","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1088531","The Asteraceaae TEN"
"Helichrysum odoratissimum","shrub","broadleaved","evergreen",NA,NA,1,3,"ESH","Helichrysum odoratissimum","Accepted",FALSE,"(L.) Sweet","Helichrysum","species","Asteraceae","wfo-0000025613","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1108845","The Asteraceaae TEN"
"Heliocarpus appendiculatus","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Heliocarpus appendiculatus","Accepted",FALSE,"Turcz.","Heliocarpus","species","Malvaceae","wfo-0000718188",NA,"The Malvaceae TEN"
"Herniaria fontanesii","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Herniaria fontanesii","Accepted",FALSE,"J.Gay","Herniaria","species","Caryophyllaceae","wfo-0000720671",NA,"The Caryophyllales TEN -The Caryophyllales Network"
